City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Datetime
Tura,25.5198,90.2201,64.62,79,23,3.22,IN,19800
Bluff,-46.6,168.3333,52.3,92,100,1.81,NZ,46800
Cabo San Lucas,22.8909,-109.9124,87.62,66,1,7.0,MX,-21600
Beringovskiy,63.05,179.3167,13.01,73,3,8.01,RU,43200
Ushuaia,-54.8,-68.3,35.26,80,90,18.41,AR,-10800
Komsomolets,53.7453,62.0708,46.2,85,89,11.83,KZ,21600
Bilibino,68.0546,166.4372,-6.45,98,96,0.83,RU,43200
George Town,5.4112,100.3354,79.9,88,20,0.0,MY,28800
Gonder,12.6,37.4667,56.32,59,33,6.31,ET,10800
Mīzan Teferī,6.9833,35.5833,62.01,67,37,3.02,ET,10800
Albany,42.6001,-73.9662,48.81,72,96,5.26,US,-14400
Barrow,71.2906,-156.7887,28.42,86,90,11.5,US,-28800
Hermanus,-34.4187,19.2345,55.9,68,34,2.98,ZA,7200
Puerto del Rosario,28.5004,-13.8627,71.35,60,81,10.36,ES,3600
Geraldton,-28.7667,114.6,61.21,82,20,1.14,AU,28800
Ponta do Sol,32.6667,-17.1,70.43,64,21,6.89,PT,3600
Khokhryaki,56.9156,53.3221,39.06,82,35,5.41,RU,14400
Berdigestyakh,62.0989,126.6992,34.36,98,100,8.57,RU,32400
Hithadhoo,-0.6,73.0833,82.69,70,86,12.3,MV,18000
Oktyabr'skoye,43.0645,44.7417,35.74,93,0,4.47,RU,10800
Ahipara,-35.1667,173.1667,63.73,87,77,7.96,NZ,46800
Talnakh,69.4865,88.3972,23.22,93,100,6.33,RU,25200
San Patricio,28.017,-97.5169,81.01,66,6,10.6,US,-18000
Spassk,52.747,87.7545,34.61,93,100,3.31,RU,25200
Udaipur,24.5712,73.6918,64.09,81,0,3.78,IN,19800
Seoul,37.5683,126.9778,51.24,45,53,1.12,KR,32400
Yellowknife,62.456,-114.3525,42.42,86,79,15.01,CA,-21600
Airai,-8.9266,125.4092,73.51,46,57,1.41,TL,32400
Mogadishu,2.0371,45.3438,78.96,83,8,10.11,SO,10800
Khatanga,71.9667,102.5,9.64,91,100,16.8,RU,25200
Sakakah,29.9697,40.2064,69.48,33,0,9.13,SA,10800
Cherepet',54.1178,36.3788,39.72,79,97,13.38,RU,10800
Mahébourg,-20.4081,57.7,74.25,77,72,12.71,MU,14400
Bandarbeyla,9.4942,50.8122,77.16,80,15,5.97,SO,10800
Lebu,-37.6167,-73.65,50.58,92,14,8.34,CL,-10800
Kirakira,-10.4544,161.9205,87.13,66,32,9.31,SB,39600
Jamestown,42.097,-79.2353,45.01,95,90,4.0,US,-14400
Guerrero Negro,27.9769,-114.0611,68.94,70,1,18.03,MX,-21600
Shimoda,34.6667,138.95,60.1,60,69,10.56,JP,32400
Cidreira,-30.1811,-50.2056,64.83,91,100,8.7,BR,-10800
Clyde River,70.4692,-68.5914,18.91,81,92,13.51,CA,-14400
Tessalit,20.1986,1.0114,82.96,22,37,7.7,ML,0
Nikolskoye,59.7035,30.7861,35.78,90,99,9.95,RU,10800
Andenes,69.3143,16.1194,33.78,86,90,9.22,NO,7200
San Cristobal,7.7669,-72.225,67.95,97,75,2.77,VE,-14400
East London,-33.0153,27.9116,59.9,64,47,18.54,ZA,7200
Guadalupe y Calvo,26.1,-106.9667,56.59,62,0,4.25,MX,-21600
Sistranda,63.7256,8.834,42.91,69,100,16.49,NO,7200
Saint-Philippe,-21.3585,55.7679,74.75,84,48,11.54,RE,14400
Marsh Harbour,26.5412,-77.0636,79.81,77,84,11.95,BS,-14400
Kapaa,22.0752,-159.319,85.98,75,75,5.99,US,-36000
Trivandrum,8.4833,76.9167,76.98,94,75,4.61,IN,19800
Aksu,41.1231,80.2644,45.73,33,6,5.68,CN,28800
New Norfolk,-42.7826,147.0587,52.72,77,100,3.0,AU,39600
Avera,33.194,-82.5271,65.71,54,0,3.6,US,-14400
Havre-St-Pierre,50.2334,-63.5986,45.81,89,100,9.62,CA,-14400
Lüderitz,-26.6481,15.1594,56.53,73,0,17.67,NA,7200
Ust-Kuyga,70.0167,135.6,-1.64,99,100,1.3,RU,36000
Tena,-0.9833,-77.8167,71.04,98,86,2.91,EC,-18000
Opelousas,30.5335,-92.0815,78.93,65,1,4.61,US,-18000
Butaritari,3.0707,172.7902,81.14,73,98,8.19,KI,43200
Tasiilaq,65.6145,-37.6368,32.16,94,100,8.99,GL,-7200
Soure,-0.7167,-48.5233,80.94,81,98,8.88,BR,-10800
Port Elizabeth,-33.918,25.5701,58.48,64,6,14.14,ZA,7200
Itarema,-2.9248,-39.9167,80.13,80,71,14.09,BR,-10800
Dikson,73.5069,80.5464,8.69,87,100,13.58,RU,25200
Robertsport,6.7533,-11.3686,78.96,83,100,4.83,LR,0
Vardø,70.3705,31.1107,35.13,67,87,23.62,NO,7200
Alofi,-19.0595,-169.9187,74.28,66,52,22.75,NU,-39600
Athabasca,54.7169,-113.2854,34.3,98,100,7.05,CA,-21600
Kaitangata,-46.2817,169.8464,53.76,81,100,3.27,NZ,46800
Rapid Valley,44.0625,-103.1463,53.06,74,1,6.91,US,-21600
Cockburn Town,21.4612,-71.1419,83.08,71,57,19.69,TC,-14400
Kagoro,9.6,8.3833,65.77,92,20,0.74,NG,3600
Sorrento,40.626,14.3744,67.26,100,100,12.15,IT,7200
Hobart,-42.8794,147.3294,53.06,77,75,5.99,AU,39600
Ribeira Grande,38.5167,-28.7,67.48,64,21,11.88,PT,0
Kyra,49.5776,111.9753,32.47,54,46,3.38,RU,32400
Nelson Bay,-32.7167,152.15,72.28,74,93,4.0,AU,39600
Mehamn,71.0357,27.8492,35.46,65,99,20.8,NO,7200
Sabha,27.0377,14.4283,78.96,18,75,13.29,LY,7200
Jacksonville,30.3322,-81.6556,74.98,76,40,4.61,US,-14400
Xifeng,42.7372,124.7222,45.3,62,0,5.14,CN,28800
Vaini,-21.2,-175.2,78.96,73,20,11.5,TO,46800
Bijie,27.3125,105.2942,47.34,94,100,2.71,CN,28800
Abu Kamal,34.4506,40.9171,69.31,32,44,5.75,SY,10800
Siedlce,52.1677,22.2901,34.57,76,41,9.37,PL,7200
Dingle,10.9995,122.6711,78.4,89,100,4.09,PH,28800
Moerai,-22.4333,-151.3333,71.71,68,100,13.67,PF,-36000
Walvis Bay,-22.9575,14.5053,58.08,90,0,10.11,NA,7200
Kulhudhuffushi,6.6221,73.07,81.46,77,91,14.97,MV,18000
Rocha,-34.4833,-54.3333,55.51,96,76,9.66,UY,-10800
Ilulissat,69.2167,-51.1,21.22,79,75,16.11,GL,-7200
Ban Dung,17.699,103.2596,69.12,99,91,4.81,TH,25200
Bubaque,11.2833,-15.8333,83.08,73,99,10.49,GW,0
Tiksi,71.6872,128.8694,1.42,96,100,9.84,RU,32400
Bonthe,7.5264,-12.505,77.4,88,96,1.77,SL,0
Ormara,25.2088,64.6357,77.56,26,0,10.36,PK,18000
Molina,-35.1167,-71.2833,62.33,36,0,6.91,CL,-10800
Kadrina,59.3347,26.145,34.12,76,99,9.4,EE,10800
Swan River,52.1058,-101.2676,36.14,75,63,8.9,CA,-18000
Pisco,-13.7,-76.2167,63.01,82,0,18.41,PE,-18000
Cherskiy,68.75,161.3,-5.03,100,95,3.85,RU,39600
Mar del Plata,-38.0023,-57.5575,55.99,68,40,5.99,AR,-10800
Shahreza,32.0339,51.8794,48.72,38,0,3.02,IR,12600
Ţahţā,26.7693,31.5021,69.3,51,2,10.36,EG,7200
Faya,18.3851,42.4509,54.12,27,3,4.38,SA,10800
Saint-François,46.4154,3.9054,34.68,100,0,3.44,FR,7200
Roald,62.5833,6.1333,50.14,66,20,8.05,NO,7200
Bambous Virieux,-20.3428,57.7575,74.21,73,81,13.94,MU,14400
San Policarpo,12.1791,125.5072,82.69,78,100,8.25,PH,28800
Zhigansk,66.7697,123.3711,25.81,95,100,5.79,RU,32400
Ukiah,39.1502,-123.2078,57.99,93,90,9.22,US,-25200
Stornoway,58.2093,-6.3865,55.36,94,75,25.32,GB,3600
Cap Malheureux,-19.9842,57.6142,74.46,75,93,4.0,MU,14400
Okhotsk,59.3833,143.3,18.91,68,1,18.23,RU,36000
Rome,43.2128,-75.4557,47.95,82,90,4.61,US,-14400
Chicama,-7.8447,-79.1469,59.54,78,40,7.16,PE,-18000
Avarua,-21.2078,-159.775,75.25,57,75,11.5,CK,-36000
Roşiori,44.8,27.3833,55.74,83,100,12.17,RO,10800
Lerwick,60.1545,-1.1494,53.6,89,100,23.33,GB,3600
Puerto Ayora,-0.7393,-90.3518,69.26,87,90,9.22,EC,-21600
Aklavik,68.2191,-135.0107,24.21,94,63,2.59,CA,-21600
La Carolina,38.2756,-3.6153,56.23,52,25,3.78,ES,7200
Nyagan,62.1406,65.3936,33.75,76,95,11.7,RU,18000
Katete,-0.7818,29.7544,60.49,94,77,2.89,UG,10800
Grants Pass,42.439,-123.3284,59.61,90,90,3.44,US,-25200
Kargopol',61.5071,38.9456,29.84,91,100,7.36,RU,10800
Broken Hill,-31.95,141.4333,60.44,45,0,13.38,AU,37800
Padang,-0.9492,100.3543,75.25,86,74,3.49,ID,25200
Mandalgovi,45.7625,106.2708,35.2,35,58,6.58,MN,28800
Leningradskiy,69.3833,178.4167,10.8,93,100,9.24,RU,43200
Mīnāb,27.1467,57.0801,78.64,20,1,4.74,IR,12600
Praia da Vitória,38.7333,-27.0667,65.75,79,14,12.59,PT,0
Uyuni,-20.4597,-66.825,48.67,14,1,15.61,BO,-14400
Virden,39.5009,-89.7679,57.02,72,100,8.41,US,-18000
Hailar,49.2,119.7,34.92,55,0,6.04,CN,28800
Saint Paul Harbor,57.79,-152.4072,45.91,76,90,10.36,US,-28800
Buchanan,5.8808,-10.0467,76.42,92,98,5.35,LR,0
Hokitika,-42.7167,170.9667,55.9,79,100,4.41,NZ,46800
Klyuchi,52.2667,79.1667,46.13,65,94,16.98,RU,25200
Buala,-8.145,159.5921,85.77,63,28,5.73,SB,39600
Canutama,-6.5339,-64.3831,81.09,71,92,1.16,BR,-14400
Moyamba,8.1667,-12.4333,73.94,98,100,1.03,SL,0
Bilma,18.6853,12.9164,80.35,15,18,6.53,NE,3600
Tautira,-17.7333,-149.15,82.42,84,100,17.85,PF,-36000
Parambu,-6.2111,-40.6944,77.18,66,88,1.25,BR,-10800
Marau,-28.4492,-52.2,58.87,98,100,3.31,BR,-10800
Mpongwe,-13.5091,28.155,78.1,32,99,5.79,ZM,7200
Cho Dok,10.7,105.1167,76.12,88,93,8.48,VN,25200
Jämsä,61.8642,25.19,26.35,93,33,4.27,FI,10800
Bereket,39.2446,55.5154,52.27,22,3,4.36,TM,18000
Mokobeng,-22.9965,27.6678,74.79,13,1,7.52,BW,7200
Chui,-33.6971,-53.4616,56.82,87,93,7.18,UY,-10800
Lębork,54.5392,17.7501,35.92,78,25,3.83,PL,7200
Rio Real,-11.4847,-37.9328,73.99,94,61,7.25,BR,-10800
Castro,-24.7911,-50.0119,61.38,92,100,5.68,BR,-10800
Vao,-22.6667,167.4833,72.46,73,36,13.24,NC,39600
Kīhei,20.785,-156.4656,84.22,67,40,23.02,US,-36000
Peleduy,59.6289,112.7406,34.56,84,100,11.41,RU,32400
Mineiros,-17.5694,-52.5511,80.28,53,68,15.77,BR,-10800
Nānākuli,21.3906,-158.1547,89.55,43,1,9.22,US,-36000
Gondanglegi,-7.7479,112.0132,82.35,66,84,8.05,ID,25200
Liwale,-9.7667,37.9333,68.79,88,42,3.94,TZ,10800
Bredasdorp,-34.5322,20.0403,48.27,76,24,2.06,ZA,7200
Pevek,69.7008,170.3133,9.23,93,100,6.58,RU,43200
Klaksvík,62.2266,-6.589,49.12,84,59,14.65,FO,3600
Pangnirtung,66.1451,-65.7125,24.13,86,98,5.82,CA,-14400
Qasigiannguit,68.8193,-51.1922,21.45,95,100,3.56,GL,-7200
Lompoc,34.6391,-120.4579,72.41,76,1,14.97,US,-25200
Kruisfontein,-34.0033,24.7314,53.26,69,15,10.54,ZA,7200
Vaitape,-16.5167,-151.75,79.12,75,100,10.45,PF,-36000
Kiryat Gat,31.61,34.7642,68.68,100,0,3.31,IL,10800
Bathsheba,13.2167,-59.5167,83.01,69,40,23.02,BB,-14400
Kutum,14.2,24.6667,74.82,24,48,14.27,SD,7200
Severodvinsk,64.5635,39.8302,24.91,81,100,7.14,RU,10800
Kuito,-12.3833,16.9333,62.51,75,94,3.94,AO,3600
Morant Bay,17.8815,-76.4093,83.82,83,56,8.68,JM,-18000
Florø,61.5996,5.0328,49.96,81,90,21.85,NO,7200
Karatuzskoye,53.6072,92.8667,37.45,82,100,6.08,RU,25200
Plettenberg Bay,-34.0527,23.3716,54.09,80,50,7.09,ZA,7200
Linxia Chengguanzhen,35.6003,103.2064,43.41,78,59,1.1,CN,28800
Province of Mantua,45.1667,10.7833,57.74,77,36,10.0,IT,7200
Hasaki,35.7333,140.8333,59.4,51,22,5.23,JP,32400
Juneau,58.3019,-134.4197,47.21,89,75,14.97,US,-28800
Auki,-8.7676,160.7034,86.72,64,35,4.5,SB,39600
Ca Mau,9.1769,105.15,78.42,89,100,4.29,VN,25200
Bintulu,3.1667,113.0333,76.55,90,98,3.11,MY,28800
Lebanon,36.2081,-86.2911,64.96,69,90,4.61,US,-18000
Stelle,53.3842,10.1114,44.65,90,51,5.17,DE,7200
Manado,1.487,124.8455,81.37,89,20,0.0,ID,28800
Khovu-Aksy,51.1333,93.6,27.16,81,72,2.95,RU,25200
Opuwo,-18.0607,13.84,65.3,27,8,2.64,NA,7200
Malé,4.1748,73.5089,82.24,73,69,15.05,MV,18000
Port-Cartier,50.0334,-66.8654,46.62,93,100,3.36,CA,-14400
Kazanlak,42.6167,25.4,51.66,92,100,8.52,BG,10800
Mahon,39.8885,4.2658,63.16,82,0,9.22,ES,7200
Sumenep,-7.0167,113.8667,84.56,69,79,6.04,ID,25200
Mount Gambier,-37.8333,140.7667,52.88,60,87,10.16,AU,37800
Muriaé,-21.1306,-42.3664,71.22,91,19,4.0,BR,-10800
Fortuna,40.5982,-124.1573,63.86,81,20,5.01,US,-25200
Carnarvon,-24.8667,113.6333,75.27,64,0,11.5,AU,28800
Talcahuano,-36.7167,-73.1167,53.28,87,0,14.97,CL,-10800
Saskylakh,71.9167,114.0833,7.29,94,100,15.48,RU,32400
Kankan,10.3854,-9.3057,72.16,93,89,1.59,GN,0
São Sepé,-30.1606,-53.5653,59.95,95,78,7.02,BR,-10800
Manaure,11.7751,-72.4445,85.19,68,27,18.45,CO,-18000
Coquimbo,-29.9533,-71.3436,58.73,72,0,2.3,CL,-10800
Hervey Bay,-25.2986,152.8535,89.71,61,79,5.55,AU,36000
Hualmay,-11.0964,-77.6139,63.16,83,9,12.19,PE,-18000
Muhos,64.808,25.9931,19.18,98,45,1.68,FI,10800
Suntar,62.1444,117.6319,34.25,76,87,10.36,RU,32400
Abu Samrah,35.3029,37.1841,63.5,64,0,5.55,SY,10800
Faanui,-16.4833,-151.75,79.09,75,100,10.89,PF,-36000
Grand Gaube,-20.0064,57.6608,74.37,76,94,5.99,MU,14400
Pak Phanang,8.3511,100.202,83.07,76,79,1.14,TH,25200
San Lorenzo,-25.3333,-57.5333,70.74,83,20,9.22,PY,-10800
Nhulunbuy,-12.2333,136.7667,88.41,55,22,11.5,AU,34200
Yangambi,0.8102,24.4336,70.27,96,98,2.04,CD,7200
Dezful,32.3811,48.4058,74.39,20,0,4.88,IR,12600
Melilla,35.2937,-2.9383,64.78,77,20,5.75,ES,3600
Grindavik,63.8424,-22.4338,46.87,100,90,9.22,IS,0
Arrondissement de Nogent-le-Rotrou,48.3333,1.0,41.65,77,0,6.67,FR,7200
Longonjo,-12.9067,15.2533,66.65,76,69,2.3,AO,3600
Bengkulu,-3.8004,102.2655,77.23,86,90,2.55,ID,25200
Jammalamadugu,14.8333,78.4,74.03,91,100,6.46,IN,19800
Arua,3.0201,30.9111,64.24,87,60,1.66,UG,10800
Novo Aripuanã,-5.1206,-60.3797,81.79,69,82,2.66,BR,-14400
Anadyr,64.75,177.4833,0.1,84,40,8.01,RU,43200
Beïnamar,8.6698,15.3813,71.29,89,86,3.89,TD,3600
Semey,50.4111,80.2275,44.82,57,0,17.9,KZ,21600
Upernavik,72.7868,-56.1549,18.88,87,100,12.75,GL,-7200
Norman Wells,65.282,-126.8329,31.21,94,55,2.37,CA,-21600
Fukuechō,32.6881,128.8419,64.85,50,88,10.47,JP,32400
Camacha,33.0833,-16.3333,67.42,52,75,8.05,PT,3600
Marfino,55.7028,37.3822,40.95,81,75,8.95,RU,10800
Kieta,-6.2167,155.6333,84.31,73,18,5.7,PG,39600
Lima,-12.0432,-77.0282,65.89,77,90,16.11,PE,-18000
Saint-Augustin,51.226,-58.6502,40.26,91,100,15.01,CA,-14400
Burdur,37.7203,30.2908,48.9,62,0,0.0,TR,10800
Humaitá,-7.5061,-63.0208,82.78,64,93,3.33,BR,-14400
Palmer,42.1584,-72.3287,53.31,62,75,4.61,US,-14400
Ballarat,-37.5662,143.8496,52.99,56,34,10.16,AU,39600
Mossamedes,-15.1961,12.1522,64.06,74,59,8.72,AO,3600
Balyqshy,47.0667,51.8667,42.8,81,0,2.24,KZ,18000
Keti Bandar,24.1447,67.4497,78.42,64,0,14.25,PK,18000
Alta Floresta,-9.8756,-56.0861,77.61,75,98,3.44,BR,-14400
Kemijärvi,66.7131,27.4306,16.81,95,46,3.96,FI,10800
Aksarka,66.5606,67.7975,27.72,83,95,16.28,RU,18000
Pochutla,15.7432,-96.4661,80.42,85,70,5.46,MX,-18000
Yangi Marg`ilon,40.4272,71.7189,40.42,34,0,2.39,UZ,18000
Nuuk,64.1835,-51.7216,29.01,37,75,14.97,GL,-7200
Elko,41.0002,-115.5012,44.74,71,98,5.01,US,-25200
Yulara,-25.2406,130.9889,73.24,25,75,20.71,AU,34200
Bay Saint Louis,30.3088,-89.33,76.01,85,1,3.44,US,-18000
Grand-Lahou,5.1367,-5.0242,77.2,88,92,5.77,CI,0
Parkes,-33.1333,148.1833,61.77,36,0,11.5,AU,39600
Prince Rupert,54.3161,-130.3201,43.84,88,91,9.13,CA,-25200
Esperance,-33.8667,121.9,62.42,49,7,18.1,AU,28800
Los Llanos de Aridane,28.6585,-17.9182,65.12,78,75,11.5,ES,3600
Menongue,-14.6585,17.691,67.12,70,54,5.1,AO,3600
Khandyga,62.6667,135.6,11.14,92,100,4.29,RU,32400
Shizunai-furukawachō,42.3339,142.3669,52.57,64,22,5.64,JP,32400
Pacific Grove,36.6177,-121.9166,66.45,77,1,3.0,US,-25200
Salalah,17.0151,54.0924,73.49,64,0,5.75,OM,14400
Te Anau,-45.4167,167.7167,57.74,77,100,0.89,NZ,46800
Huilong,31.8111,121.655,67.03,62,100,7.4,CN,28800
Ulladulla,-35.35,150.4667,68.77,67,93,6.62,AU,39600
La Asuncion,11.0333,-63.8628,80.38,78,69,17.22,VE,-14400
Knysna,-34.0363,23.0471,55.27,82,57,5.12,ZA,7200
Arraial do Cabo,-22.9661,-42.0278,71.19,86,0,32.68,BR,-10800
Brae,60.3964,-1.353,53.51,88,100,21.65,GB,3600
Susanville,40.4163,-120.653,42.8,89,99,8.01,US,-25200
Sokolo,14.7328,-6.1219,86.76,45,90,12.03,ML,0
Aguada de Pasajeros,22.385,-80.8508,77.14,83,100,1.52,CU,-14400
Kenai,60.5544,-151.2583,47.03,65,20,18.41,US,-28800
Saint-Pierre,-21.3393,55.4781,74.84,81,75,6.91,RE,14400
Hamilton,39.1834,-84.5333,56.66,83,90,3.44,US,-14400
Athens,37.9795,23.7162,68.95,86,2,3.0,GR,10800
Le Vauclin,14.5452,-60.8388,80.65,74,40,6.91,MQ,-14400
Chokurdakh,70.6333,147.9167,-2.22,98,100,6.51,RU,39600
Shubarkuduk,49.1447,56.4872,45.28,39,5,9.86,KZ,18000
Nador,35.174,-2.9287,64.65,77,20,5.75,MA,3600
Lučani,43.8608,20.1381,46.85,90,90,2.53,RS,7200
Ouahigouya,13.5828,-2.4216,83.75,48,98,4.72,BF,0
Dombarovskiy,50.7587,59.5386,45.93,66,64,11.77,RU,18000
Sulingen,52.6833,8.8,42.91,82,18,7.31,DE,7200
Korla,41.7597,86.1469,49.35,38,100,4.5,CN,28800
Ayagoz,47.9714,80.4392,33.48,55,95,8.61,KZ,21600
Sitka,57.0531,-135.33,48.09,66,90,10.36,US,-28800
Vilhena,-12.7406,-60.1458,75.25,70,85,3.98,BR,-14400
Longyearbyen,78.2186,15.6401,19.24,73,20,4.61,SJ,7200
Batagay-Alyta,67.8006,130.4114,5.14,96,100,2.71,RU,32400
Iskateley,67.6803,53.1512,25.48,90,37,7.49,RU,10800
São Borja,-28.6606,-56.0044,61.95,96,80,12.86,BR,-10800
Bangolo,7.0069,-7.475,71.1,99,78,1.28,CI,0
Itaituba,-4.2761,-55.9836,77.09,90,99,2.73,BR,-10800
Atar,20.5169,-13.0499,79.54,17,0,7.09,MR,0
Durango,24.8333,-104.8333,67.91,36,0,7.87,MX,-18000
Mount Isa,-20.7333,139.5,87.57,37,75,4.61,AU,36000
Namtsy,62.7161,129.6658,24.91,96,100,5.39,RU,32400
Esil,51.9556,66.4042,46.47,89,82,14.45,KZ,21600
Mattawa,46.7379,-119.9028,57.15,58,94,7.38,US,-25200
Nago,26.5881,127.9761,75.27,66,88,7.52,JP,32400
Nishihara,26.1842,127.7558,74.48,65,40,11.5,JP,32400
Mazatlán,23.2167,-106.4167,86.02,84,1,4.0,MX,-21600
Katsuura,35.1333,140.3,63.19,58,55,7.29,JP,32400
Russell,32.3502,-85.1999,65.8,82,1,0.0,US,-18000
Kargasok,59.0556,80.8572,46.9,76,100,18.92,RU,25200
Dubbo,-32.25,148.6167,64.53,39,0,14.97,AU,39600
Jutaí,-5.1833,-68.9,77.63,84,47,3.09,BR,-14400
Tuy Hoa,13.0833,109.3,76.87,93,100,8.01,VN,25200
Hazorasp,41.3194,61.0742,47.12,31,0,9.98,UZ,18000
Lorengau,-2.0226,147.2712,84.6,71,75,10.74,PG,36000
Hong Kong,22.2855,114.1577,69.33,76,87,1.99,HK,28800
Trelew,-43.249,-65.3051,61.2,16,77,29.75,AR,-10800
Sulzbach-Rosenberg,49.4983,11.7517,34.75,87,67,2.46,DE,7200
Xiangxiang,27.7333,112.5333,55.04,75,0,3.8,CN,28800
Jining,35.405,116.5814,59.0,1,96,4.59,CN,28800
Ingham,42.6,-84.3833,48.38,85,90,3.44,US,-14400
Abonnema,4.7084,6.7931,73.62,93,87,2.75,NG,3600
Turukhansk,65.8167,87.9833,32.5,98,100,12.15,RU,25200
Margate,51.3813,1.3862,55.31,78,47,4.0,GB,3600
Koundara,12.4833,-13.3,77.11,85,90,4.56,GN,0
Muros,42.7762,-9.0603,57.83,95,3,5.14,ES,7200
Edgewater,28.9889,-80.9023,78.3,73,20,11.5,US,-14400
Coahuayana Viejo,18.7333,-103.6833,83.68,82,99,3.56,MX,-18000
Peniche,39.3558,-9.3811,62.1,89,15,8.5,PT,3600
Bani Walid,31.7566,13.9942,76.1,42,99,8.08,LY,7200
Kawalu,-7.3817,108.2082,76.21,88,100,1.9,ID,25200
Tual,-5.6667,132.75,84.2,75,99,14.79,ID,32400
Usinsk,65.9939,57.5281,19.63,92,27,11.54,RU,10800
Charter Township of Clinton,42.587,-82.9199,50.94,76,75,0.0,US,-14400
Ola,59.5833,151.2833,25.66,61,100,11.16,RU,39600
Kitimat,54.0524,-128.6534,45.91,36,100,0.49,CA,-25200
Morón,-34.6534,-58.6198,65.95,52,35,1.01,AR,-10800
Broome,42.2506,-75.833,46.2,85,75,0.0,US,-14400
Thompson,55.7435,-97.8558,36.55,70,100,4.52,CA,-18000
Kavaratti,10.5669,72.642,81.27,75,94,2.95,IN,19800
College,64.8569,-147.8028,42.75,69,40,0.0,US,-28800
Impfondo,1.6381,18.0667,70.52,98,100,2.73,CG,3600
Port Hardy,50.6996,-127.4199,49.55,83,54,13.02,CA,-25200
Husavik,66.0449,-17.3389,40.21,96,100,4.47,IS,0
Owando,-0.4819,15.8999,70.16,98,66,2.33,CG,3600
Nurota,40.5614,65.6886,46.49,36,0,5.64,UZ,18000
Uray,60.1247,64.7758,38.34,77,44,13.67,RU,18000
Phuket,8.0,98.25,84.09,100,20,2.3,TH,25200
Berlevåg,70.8578,29.0864,36.72,63,100,24.43,NO,7200
Katobu,-4.9408,122.5276,84.07,71,87,1.7,ID,28800
Jackson,42.4165,-122.8345,58.15,74,75,5.75,US,-25200
Nantucket,41.2835,-70.0995,57.31,67,20,9.22,US,-14400
Takoradze,4.8845,-1.7554,77.13,87,97,4.81,GH,0
Kununurra,-15.7667,128.7333,87.78,62,40,8.05,AU,28800
Camargo,27.6667,-105.1667,79.95,18,0,3.53,MX,-21600
Yar-Sale,66.8333,70.8333,28.04,95,99,11.01,RU,18000
Tsuruoka,38.7217,139.8217,58.01,68,96,9.22,JP,32400
Pilar,-9.5972,-35.9567,75.99,87,36,9.22,BR,-10800
Konnūr,16.2,74.75,70.99,87,92,5.19,IN,19800
Caravelas,-17.7125,-39.2481,75.45,81,54,5.35,BR,-10800
Khāsh,28.2211,61.2158,51.53,14,0,1.21,IR,12600
Arrondissement d'Ajaccio,42.0,8.9167,59.16,88,0,6.91,FR,7200
Vrangel',42.7297,133.0839,49.23,50,0,7.14,RU,36000
Sukumo,32.9333,132.7333,61.41,57,55,2.59,JP,32400
Nouadhibou,20.931,-17.0347,68.2,81,0,18.66,MR,0
Iracoubo,5.4802,-53.2011,77.81,88,99,9.86,GF,-10800
San Quintín,30.4833,-115.95,64.98,70,35,20.94,MX,-25200
